hits,quarter,term,year
0,1,battle exhaustion,1943
0,2,battle exhaustion,1943
0,3,battle exhaustion,1943
0,4,battle exhaustion,1943
0,1,battle exhaustion,1944
0,2,battle exhaustion,1944
1,3,battle exhaustion,1944
1,4,battle exhaustion,1944
1,1,battle exhaustion,1945
0,2,battle exhaustion,1945
0,3,battle exhaustion,1945
0,4,battle exhaustion,1945
0,1,battle exhaustion,1946
0,2,battle exhaustion,1946
0,3,battle exhaustion,1946
0,4,battle exhaustion,1946
0,1,battle exhaustion,1947
0,2,battle exhaustion,1947
1,3,battle exhaustion,1947
0,4,battle exhaustion,1947
0,1,battle exhaustion,1948
0,2,battle exhaustion,1948
0,3,battle exhaustion,1948
2,4,battle exhaustion,1948
0,1,battle exhaustion,1949
0,2,battle exhaustion,1949
0,3,battle exhaustion,1949
0,4,battle exhaustion,1949
0,1,battle exhaustion,1950
0,2,battle exhaustion,1950
0,3,battle exhaustion,1950
0,4,battle exhaustion,1950
1,1,battle exhaustion,1951
0,2,battle exhaustion,1951
0,3,battle exhaustion,1951
0,4,battle exhaustion,1951
0,1,battle exhaustion,1952
0,2,battle exhaustion,1952
0,3,battle exhaustion,1952
0,4,battle exhaustion,1952
0,1,battle exhaustion,1953
0,2,battle exhaustion,1953
0,3,battle exhaustion,1953
0,4,battle exhaustion,1953
0,1,battle exhaustion,1954
0,2,battle exhaustion,1954
0,3,battle exhaustion,1954
0,4,battle exhaustion,1954
0,1,battle exhaustion,1955
0,2,battle exhaustion,1955
0,3,battle exhaustion,1955
0,4,battle exhaustion,1955
0,1,battle exhaustion,1956
0,2,battle exhaustion,1956
0,3,battle exhaustion,1956
0,4,battle exhaustion,1956
0,1,battle exhaustion,1957
0,2,battle exhaustion,1957
0,3,battle exhaustion,1957
0,4,battle exhaustion,1957
0,1,battle exhaustion,1958
0,2,battle exhaustion,1958
0,3,battle exhaustion,1958
0,4,battle exhaustion,1958
0,1,battle exhaustion,1959
0,2,battle exhaustion,1959
0,3,battle exhaustion,1959
0,4,battle exhaustion,1959
0,1,battle exhaustion,1960
0,2,battle exhaustion,1960
0,3,battle exhaustion,1960
0,4,battle exhaustion,1960
0,1,battle exhaustion,1961
0,2,battle exhaustion,1961
1,3,battle exhaustion,1961
0,4,battle exhaustion,1961
0,1,battle exhaustion,1962
0,2,battle exhaustion,1962
0,3,battle exhaustion,1962
0,4,battle exhaustion,1962
0,1,battle exhaustion,1963
0,2,battle exhaustion,1963
0,3,battle exhaustion,1963
0,4,battle exhaustion,1963
0,1,battle exhaustion,1964
0,2,battle exhaustion,1964
0,3,battle exhaustion,1964
0,4,battle exhaustion,1964
0,1,battle exhaustion,1965
0,2,battle exhaustion,1965
0,3,battle exhaustion,1965
0,4,battle exhaustion,1965
0,1,battle exhaustion,1966
0,2,battle exhaustion,1966
0,3,battle exhaustion,1966
0,4,battle exhaustion,1966
0,1,battle exhaustion,1967
0,2,battle exhaustion,1967
0,3,battle exhaustion,1967
0,4,battle exhaustion,1967
0,1,battle exhaustion,1968
0,2,battle exhaustion,1968
0,3,battle exhaustion,1968
0,4,battle exhaustion,1968
0,1,battle exhaustion,1969
1,2,battle exhaustion,1969
0,3,battle exhaustion,1969
0,4,battle exhaustion,1969
0,1,battle exhaustion,1970
0,2,battle exhaustion,1970
0,3,battle exhaustion,1970
0,4,battle exhaustion,1970
0,1,battle exhaustion,1971
0,2,battle exhaustion,1971
0,3,battle exhaustion,1971
0,4,battle exhaustion,1971
0,1,battle exhaustion,1972
0,2,battle exhaustion,1972
0,3,battle exhaustion,1972
0,4,battle exhaustion,1972
0,1,battle exhaustion,1973
0,2,battle exhaustion,1973
0,3,battle exhaustion,1973
0,4,battle exhaustion,1973
0,1,battle exhaustion,1974
0,2,battle exhaustion,1974
0,3,battle exhaustion,1974
0,4,battle exhaustion,1974
0,1,battle exhaustion,1975
0,2,battle exhaustion,1975
0,3,battle exhaustion,1975
0,4,battle exhaustion,1975
0,1,battle exhaustion,1976
0,2,battle exhaustion,1976
0,3,battle exhaustion,1976
0,4,battle exhaustion,1976
0,1,battle exhaustion,1977
0,2,battle exhaustion,1977
0,3,battle exhaustion,1977
0,4,battle exhaustion,1977
0,1,battle exhaustion,1978
0,2,battle exhaustion,1978
0,3,battle exhaustion,1978
0,4,battle exhaustion,1978
0,1,battle exhaustion,1979
0,2,battle exhaustion,1979
0,3,battle exhaustion,1979
0,4,battle exhaustion,1979
0,1,battle exhaustion,1980
0,2,battle exhaustion,1980
0,3,battle exhaustion,1980
0,4,battle exhaustion,1980
0,1,battle exhaustion,1981
0,2,battle exhaustion,1981
0,3,battle exhaustion,1981
0,4,battle exhaustion,1981
0,1,battle exhaustion,1982
0,2,battle exhaustion,1982
0,3,battle exhaustion,1982
0,4,battle exhaustion,1982
0,1,battle exhaustion,1983
0,2,battle exhaustion,1983
0,3,battle exhaustion,1983
0,4,battle exhaustion,1983
0,1,battle exhaustion,1984
0,2,battle exhaustion,1984
0,3,battle exhaustion,1984
0,4,battle exhaustion,1984
0,1,battle exhaustion,1985
0,2,battle exhaustion,1985
0,3,battle exhaustion,1985
0,4,battle exhaustion,1985
0,1,battle exhaustion,1986
0,2,battle exhaustion,1986
0,3,battle exhaustion,1986
0,4,battle exhaustion,1986
0,1,battle exhaustion,1987
0,2,battle exhaustion,1987
0,3,battle exhaustion,1987
0,4,battle exhaustion,1987
0,1,battle exhaustion,1988
0,2,battle exhaustion,1988
0,3,battle exhaustion,1988
0,4,battle exhaustion,1988
0,1,battle exhaustion,1989
0,2,battle exhaustion,1989
0,3,battle exhaustion,1989
0,4,battle exhaustion,1989
0,1,battle exhaustion,1990
0,2,battle exhaustion,1990
0,3,battle exhaustion,1990
0,4,battle exhaustion,1990
0,1,battle exhaustion,1991
0,2,battle exhaustion,1991
0,3,battle exhaustion,1991
0,4,battle exhaustion,1991
0,1,battle exhaustion,1992
0,2,battle exhaustion,1992
0,3,battle exhaustion,1992
0,4,battle exhaustion,1992
0,1,battle exhaustion,1993
0,2,battle exhaustion,1993
0,3,battle exhaustion,1993
0,4,battle exhaustion,1993
0,1,battle exhaustion,1994
0,2,battle exhaustion,1994
0,3,battle exhaustion,1994
0,4,battle exhaustion,1994
0,1,battle exhaustion,1995
0,2,battle exhaustion,1995
0,3,battle exhaustion,1995
0,4,battle exhaustion,1995
0,1,battle exhaustion,1996
0,2,battle exhaustion,1996
0,3,battle exhaustion,1996
0,4,battle exhaustion,1996
0,1,battle exhaustion,1997
0,2,battle exhaustion,1997
0,3,battle exhaustion,1997
0,4,battle exhaustion,1997
0,1,battle exhaustion,1998
0,2,battle exhaustion,1998
0,3,battle exhaustion,1998
0,4,battle exhaustion,1998
0,1,battle exhaustion,1999
0,2,battle exhaustion,1999
0,3,battle exhaustion,1999
0,4,battle exhaustion,1999
0,1,battle exhaustion,2000
0,2,battle exhaustion,2000
0,3,battle exhaustion,2000
0,4,battle exhaustion,2000
0,1,battle exhaustion,2001
0,2,battle exhaustion,2001
0,3,battle exhaustion,2001
0,4,battle exhaustion,2001
0,1,battle exhaustion,2002
0,2,battle exhaustion,2002
0,3,battle exhaustion,2002
0,4,battle exhaustion,2002
0,1,battle exhaustion,2003
0,2,battle exhaustion,2003
0,3,battle exhaustion,2003
0,4,battle exhaustion,2003
0,1,battle exhaustion,2004
0,2,battle exhaustion,2004
0,3,battle exhaustion,2004
0,4,battle exhaustion,2004
0,1,battle exhaustion,2005
0,2,battle exhaustion,2005
0,3,battle exhaustion,2005
0,4,battle exhaustion,2005
0,1,battle exhaustion,2006
0,2,battle exhaustion,2006
0,3,battle exhaustion,2006
0,4,battle exhaustion,2006
0,1,battle exhaustion,2007
0,2,battle exhaustion,2007
0,3,battle exhaustion,2007
0,4,battle exhaustion,2007
0,1,battle exhaustion,2008
0,2,battle exhaustion,2008
0,3,battle exhaustion,2008
0,4,battle exhaustion,2008
0,1,battle exhaustion,2009
0,2,battle exhaustion,2009
0,3,battle exhaustion,2009
0,4,battle exhaustion,2009
0,1,battle exhaustion,2010
0,2,battle exhaustion,2010
0,3,battle exhaustion,2010
0,4,battle exhaustion,2010
0,1,battle exhaustion,2011
0,2,battle exhaustion,2011
0,3,battle exhaustion,2011
0,4,battle exhaustion,2011
0,1,battle exhaustion,2012
0,2,battle exhaustion,2012
0,3,battle exhaustion,2012
0,4,battle exhaustion,2012
0,1,battle exhaustion,2013
0,2,battle exhaustion,2013
0,3,battle exhaustion,2013
0,4,battle exhaustion,2013
0,1,battle exhaustion,2014
0,2,battle exhaustion,2014
0,3,battle exhaustion,2014
0,4,battle exhaustion,2014
0,1,battle exhaustion,2015
0,2,battle exhaustion,2015
0,3,battle exhaustion,2015
0,4,battle exhaustion,2015
0,1,battle exhaustion,2016
0,2,battle exhaustion,2016
0,3,battle exhaustion,2016
0,4,battle exhaustion,2016
