hits,quarter,term,year
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1924
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1925
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1925
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1925
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1925
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1926
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1926
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1926
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1926
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1927
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1927
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1927
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1927
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1928
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1928
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1928
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1928
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1929
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1929
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1929
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1929
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1930
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1930
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1930
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1930
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1931
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1931
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1931
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1931
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1932
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1932
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1932
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1932
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1933
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1933
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1933
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1933
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1934
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1934
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1934
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1934
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1935
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1935
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1935
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1935
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1936
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1936
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1936
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1936
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1937
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1937
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1937
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1937
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1938
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1938
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1938
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1938
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1939
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1939
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1939
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1939
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1940
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1940
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1940
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1940
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1941
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1941
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1941
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1941
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1942
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1942
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1942
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1942
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1943
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1943
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1943
2,4,(veteran or soldier or military or armedforces) AND battle fatigue,1943
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1944
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1944
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1944
3,4,(veteran or soldier or military or armedforces) AND battle fatigue,1944
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1945
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1945
7,3,(veteran or soldier or military or armedforces) AND battle fatigue,1945
6,4,(veteran or soldier or military or armedforces) AND battle fatigue,1945
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1946
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1946
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,1946
2,4,(veteran or soldier or military or armedforces) AND battle fatigue,1946
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1947
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1947
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1947
2,4,(veteran or soldier or military or armedforces) AND battle fatigue,1947
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1948
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1948
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1948
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1948
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1949
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1949
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1949
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1949
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1950
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1950
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1950
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1950
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1951
2,2,(veteran or soldier or military or armedforces) AND battle fatigue,1951
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1951
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1951
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1952
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1952
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1952
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1952
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1953
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1953
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1953
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1953
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1954
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1954
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1954
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1954
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1955
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1955
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1955
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1955
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1956
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1956
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1956
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1956
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1957
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1957
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1957
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1957
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1958
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1958
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1958
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1958
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1959
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1959
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1959
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1959
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1960
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1960
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1960
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1960
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1961
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1961
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1961
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1961
