hits,quarter,term,year
0,3,veteran.soldier.military.armedforces AND soldier's heart,1926
0,4,veteran.soldier.military.armedforces AND soldier's heart,1926
0,1,veteran.soldier.military.armedforces AND soldier's heart,1927
0,2,veteran.soldier.military.armedforces AND soldier's heart,1927
0,3,veteran.soldier.military.armedforces AND soldier's heart,1927
0,4,veteran.soldier.military.armedforces AND soldier's heart,1927
0,1,veteran.soldier.military.armedforces AND soldier's heart,1928
0,2,veteran.soldier.military.armedforces AND soldier's heart,1928
0,3,veteran.soldier.military.armedforces AND soldier's heart,1928
0,4,veteran.soldier.military.armedforces AND soldier's heart,1928
0,1,veteran.soldier.military.armedforces AND soldier's heart,1929
0,2,veteran.soldier.military.armedforces AND soldier's heart,1929
0,3,veteran.soldier.military.armedforces AND soldier's heart,1929
0,4,veteran.soldier.military.armedforces AND soldier's heart,1929
0,1,veteran.soldier.military.armedforces AND soldier's heart,1930
0,2,veteran.soldier.military.armedforces AND soldier's heart,1930
0,3,veteran.soldier.military.armedforces AND soldier's heart,1930
0,4,veteran.soldier.military.armedforces AND soldier's heart,1930
0,1,veteran.soldier.military.armedforces AND soldier's heart,1931
0,2,veteran.soldier.military.armedforces AND soldier's heart,1931
0,3,veteran.soldier.military.armedforces AND soldier's heart,1931
1,4,veteran.soldier.military.armedforces AND soldier's heart,1931
0,1,veteran.soldier.military.armedforces AND soldier's heart,1932
0,2,veteran.soldier.military.armedforces AND soldier's heart,1932
0,3,veteran.soldier.military.armedforces AND soldier's heart,1932
0,4,veteran.soldier.military.armedforces AND soldier's heart,1932
0,1,veteran.soldier.military.armedforces AND soldier's heart,1933
0,2,veteran.soldier.military.armedforces AND soldier's heart,1933
0,3,veteran.soldier.military.armedforces AND soldier's heart,1933
1,4,veteran.soldier.military.armedforces AND soldier's heart,1933
0,1,veteran.soldier.military.armedforces AND soldier's heart,1934
0,2,veteran.soldier.military.armedforces AND soldier's heart,1934
0,3,veteran.soldier.military.armedforces AND soldier's heart,1934
0,4,veteran.soldier.military.armedforces AND soldier's heart,1934
0,1,veteran.soldier.military.armedforces AND soldier's heart,1935
0,2,veteran.soldier.military.armedforces AND soldier's heart,1935
0,3,veteran.soldier.military.armedforces AND soldier's heart,1935
0,4,veteran.soldier.military.armedforces AND soldier's heart,1935
0,1,veteran.soldier.military.armedforces AND soldier's heart,1936
0,2,veteran.soldier.military.armedforces AND soldier's heart,1936
0,3,veteran.soldier.military.armedforces AND soldier's heart,1936
0,4,veteran.soldier.military.armedforces AND soldier's heart,1936
0,1,veteran.soldier.military.armedforces AND soldier's heart,1937
0,2,veteran.soldier.military.armedforces AND soldier's heart,1937
0,3,veteran.soldier.military.armedforces AND soldier's heart,1937
0,4,veteran.soldier.military.armedforces AND soldier's heart,1937
0,1,veteran.soldier.military.armedforces AND soldier's heart,1938
0,2,veteran.soldier.military.armedforces AND soldier's heart,1938
0,3,veteran.soldier.military.armedforces AND soldier's heart,1938
0,4,veteran.soldier.military.armedforces AND soldier's heart,1938
0,1,veteran.soldier.military.armedforces AND soldier's heart,1939
0,2,veteran.soldier.military.armedforces AND soldier's heart,1939
0,3,veteran.soldier.military.armedforces AND soldier's heart,1939
0,4,veteran.soldier.military.armedforces AND soldier's heart,1939
0,1,veteran.soldier.military.armedforces AND soldier's heart,1940
0,2,veteran.soldier.military.armedforces AND soldier's heart,1940
0,3,veteran.soldier.military.armedforces AND soldier's heart,1940
0,4,veteran.soldier.military.armedforces AND soldier's heart,1940
0,1,veteran.soldier.military.armedforces AND soldier's heart,1941
1,2,veteran.soldier.military.armedforces AND soldier's heart,1941
0,3,veteran.soldier.military.armedforces AND soldier's heart,1941
0,4,veteran.soldier.military.armedforces AND soldier's heart,1941
0,1,veteran.soldier.military.armedforces AND soldier's heart,1942
0,2,veteran.soldier.military.armedforces AND soldier's heart,1942
0,3,veteran.soldier.military.armedforces AND soldier's heart,1942
1,4,veteran.soldier.military.armedforces AND soldier's heart,1942
0,1,veteran.soldier.military.armedforces AND soldier's heart,1943
0,2,veteran.soldier.military.armedforces AND soldier's heart,1943
0,3,veteran.soldier.military.armedforces AND soldier's heart,1943
0,4,veteran.soldier.military.armedforces AND soldier's heart,1943
0,1,veteran.soldier.military.armedforces AND soldier's heart,1944
0,2,veteran.soldier.military.armedforces AND soldier's heart,1944
0,3,veteran.soldier.military.armedforces AND soldier's heart,1944
0,4,veteran.soldier.military.armedforces AND soldier's heart,1944
0,1,veteran.soldier.military.armedforces AND soldier's heart,1945
0,2,veteran.soldier.military.armedforces AND soldier's heart,1945
0,3,veteran.soldier.military.armedforces AND soldier's heart,1945
0,4,veteran.soldier.military.armedforces AND soldier's heart,1945
0,1,veteran.soldier.military.armedforces AND soldier's heart,1946
0,2,veteran.soldier.military.armedforces AND soldier's heart,1946
0,3,veteran.soldier.military.armedforces AND soldier's heart,1946
0,4,veteran.soldier.military.armedforces AND soldier's heart,1946
0,1,veteran.soldier.military.armedforces AND soldier's heart,1947
0,2,veteran.soldier.military.armedforces AND soldier's heart,1947
0,3,veteran.soldier.military.armedforces AND soldier's heart,1947
1,4,veteran.soldier.military.armedforces AND soldier's heart,1947
1,1,veteran.soldier.military.armedforces AND soldier's heart,1948
0,2,veteran.soldier.military.armedforces AND soldier's heart,1948
0,3,veteran.soldier.military.armedforces AND soldier's heart,1948
0,4,veteran.soldier.military.armedforces AND soldier's heart,1948
0,1,veteran.soldier.military.armedforces AND soldier's heart,1949
0,2,veteran.soldier.military.armedforces AND soldier's heart,1949
0,3,veteran.soldier.military.armedforces AND soldier's heart,1949
0,4,veteran.soldier.military.armedforces AND soldier's heart,1949
0,1,veteran.soldier.military.armedforces AND soldier's heart,1950
0,2,veteran.soldier.military.armedforces AND soldier's heart,1950
0,3,veteran.soldier.military.armedforces AND soldier's heart,1950
0,4,veteran.soldier.military.armedforces AND soldier's heart,1950
0,1,veteran.soldier.military.armedforces AND soldier's heart,1951
0,2,veteran.soldier.military.armedforces AND soldier's heart,1951
0,3,veteran.soldier.military.armedforces AND soldier's heart,1951
0,4,veteran.soldier.military.armedforces AND soldier's heart,1951
0,1,veteran.soldier.military.armedforces AND soldier's heart,1952
0,2,veteran.soldier.military.armedforces AND soldier's heart,1952
0,3,veteran.soldier.military.armedforces AND soldier's heart,1952
0,4,veteran.soldier.military.armedforces AND soldier's heart,1952
0,1,veteran.soldier.military.armedforces AND soldier's heart,1953
