hits,quarter,term,year
0,3,(vets*) AND railway spine,1918
0,4,(vets*) AND railway spine,1918
0,1,(vets*) AND railway spine,1919
0,2,(vets*) AND railway spine,1919
0,3,(vets*) AND railway spine,1919
0,4,(vets*) AND railway spine,1919
0,1,(vets*) AND railway spine,1920
0,2,(vets*) AND railway spine,1920
0,3,(vets*) AND railway spine,1920
0,4,(vets*) AND railway spine,1920
0,1,(vets*) AND railway spine,1921
0,2,(vets*) AND railway spine,1921
0,3,(vets*) AND railway spine,1921
0,4,(vets*) AND railway spine,1921
0,1,(vets*) AND railway spine,1922
0,2,(vets*) AND railway spine,1922
0,3,(vets*) AND railway spine,1922
0,4,(vets*) AND railway spine,1922
0,1,(vets*) AND railway spine,1923
0,2,(vets*) AND railway spine,1923
0,3,(vets*) AND railway spine,1923
0,4,(vets*) AND railway spine,1923
0,1,(vets*) AND railway spine,1924
0,2,(vets*) AND railway spine,1924
0,3,(vets*) AND railway spine,1924
0,4,(vets*) AND railway spine,1924
0,1,(vets*) AND railway spine,1925
0,2,(vets*) AND railway spine,1925
0,3,(vets*) AND railway spine,1925
0,4,(vets*) AND railway spine,1925
0,1,(vets*) AND railway spine,1926
0,2,(vets*) AND railway spine,1926
0,3,(vets*) AND railway spine,1926
0,4,(vets*) AND railway spine,1926
0,1,(vets*) AND railway spine,1927
0,2,(vets*) AND railway spine,1927
0,3,(vets*) AND railway spine,1927
0,4,(vets*) AND railway spine,1927
0,1,(vets*) AND railway spine,1928
0,2,(vets*) AND railway spine,1928
0,3,(vets*) AND railway spine,1928
0,4,(vets*) AND railway spine,1928
0,1,(vets*) AND railway spine,1929
0,2,(vets*) AND railway spine,1929
0,3,(vets*) AND railway spine,1929
0,4,(vets*) AND railway spine,1929
0,1,(vets*) AND railway spine,1930
0,2,(vets*) AND railway spine,1930
0,3,(vets*) AND railway spine,1930
0,4,(vets*) AND railway spine,1930
0,1,(vets*) AND railway spine,1931
0,2,(vets*) AND railway spine,1931
0,3,(vets*) AND railway spine,1931
0,4,(vets*) AND railway spine,1931
0,1,(vets*) AND railway spine,1932
0,2,(vets*) AND railway spine,1932
0,3,(vets*) AND railway spine,1932
0,4,(vets*) AND railway spine,1932
0,1,(vets*) AND railway spine,1933
0,2,(vets*) AND railway spine,1933
0,3,(vets*) AND railway spine,1933
0,4,(vets*) AND railway spine,1933
0,1,(vets*) AND railway spine,1934
0,2,(vets*) AND railway spine,1934
0,3,(vets*) AND railway spine,1934
0,4,(vets*) AND railway spine,1934
0,1,(vets*) AND railway spine,1935
0,2,(vets*) AND railway spine,1935
0,3,(vets*) AND railway spine,1935
0,4,(vets*) AND railway spine,1935
0,1,(vets*) AND railway spine,1936
0,2,(vets*) AND railway spine,1936
0,3,(vets*) AND railway spine,1936
0,4,(vets*) AND railway spine,1936
0,1,(vets*) AND railway spine,1937
0,2,(vets*) AND railway spine,1937
0,3,(vets*) AND railway spine,1937
0,4,(vets*) AND railway spine,1937
0,1,(vets*) AND railway spine,1938
0,2,(vets*) AND railway spine,1938
0,3,(vets*) AND railway spine,1938
0,4,(vets*) AND railway spine,1938
0,1,(vets*) AND railway spine,1939
0,2,(vets*) AND railway spine,1939
0,3,(vets*) AND railway spine,1939
0,4,(vets*) AND railway spine,1939
