hits,quarter,term,year
0,1,(vets*) AND perpetual bogey,1912
0,2,(vets*) AND perpetual bogey,1912
0,3,(vets*) AND perpetual bogey,1912
0,4,(vets*) AND perpetual bogey,1912
0,1,(vets*) AND perpetual bogey,1913
0,2,(vets*) AND perpetual bogey,1913
0,3,(vets*) AND perpetual bogey,1913
0,4,(vets*) AND perpetual bogey,1913
0,1,(vets*) AND perpetual bogey,1914
0,2,(vets*) AND perpetual bogey,1914
0,3,(vets*) AND perpetual bogey,1914
0,4,(vets*) AND perpetual bogey,1914
0,1,(vets*) AND perpetual bogey,1915
0,2,(vets*) AND perpetual bogey,1915
0,3,(vets*) AND perpetual bogey,1915
0,4,(vets*) AND perpetual bogey,1915
0,1,(vets*) AND perpetual bogey,1916
0,2,(vets*) AND perpetual bogey,1916
0,3,(vets*) AND perpetual bogey,1916
0,4,(vets*) AND perpetual bogey,1916
0,1,(vets*) AND perpetual bogey,1917
0,2,(vets*) AND perpetual bogey,1917
0,3,(vets*) AND perpetual bogey,1917
0,4,(vets*) AND perpetual bogey,1917
0,1,(vets*) AND perpetual bogey,1918
0,2,(vets*) AND perpetual bogey,1918
0,3,(vets*) AND perpetual bogey,1918
0,4,(vets*) AND perpetual bogey,1918
0,1,(vets*) AND perpetual bogey,1919
0,2,(vets*) AND perpetual bogey,1919
0,3,(vets*) AND perpetual bogey,1919
0,4,(vets*) AND perpetual bogey,1919
0,1,(vets*) AND perpetual bogey,1920
0,2,(vets*) AND perpetual bogey,1920
0,3,(vets*) AND perpetual bogey,1920
0,4,(vets*) AND perpetual bogey,1920
0,1,(vets*) AND perpetual bogey,1921
0,2,(vets*) AND perpetual bogey,1921
0,3,(vets*) AND perpetual bogey,1921
0,4,(vets*) AND perpetual bogey,1921
0,1,(vets*) AND perpetual bogey,1922
0,2,(vets*) AND perpetual bogey,1922
0,3,(vets*) AND perpetual bogey,1922
0,4,(vets*) AND perpetual bogey,1922
0,1,(vets*) AND perpetual bogey,1923
0,2,(vets*) AND perpetual bogey,1923
0,3,(vets*) AND perpetual bogey,1923
0,4,(vets*) AND perpetual bogey,1923
0,1,(vets*) AND perpetual bogey,1924
0,2,(vets*) AND perpetual bogey,1924
0,3,(vets*) AND perpetual bogey,1924
0,4,(vets*) AND perpetual bogey,1924
0,1,(vets*) AND perpetual bogey,1925
0,2,(vets*) AND perpetual bogey,1925
0,3,(vets*) AND perpetual bogey,1925
0,4,(vets*) AND perpetual bogey,1925
0,1,(vets*) AND perpetual bogey,1926
0,2,(vets*) AND perpetual bogey,1926
